City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,huarmey,-10.0681,-78.1522,22.420000000000016,84,69,3.95,PE,1712892984
125,majene,-3.5403,118.9707,26.07000000000005,87,100,2.23,ID,1712893104
126,saint-philippe,-21.3585,55.7679,25.77000000000004,83,85,0.74,RE,1712892877
127,ghanzi,-21.5667,21.7833,15.360000000000014,53,4,3.59,BW,1712893104
128,palmares do sul,-30.2578,-50.5097,20.30000000000001,79,100,5.57,BR,1712893105
129,nikolayevsk-on-amure,53.1406,140.73,7.340000000000032,64,7,1.34,RU,1712893105
130,salinas,36.6777,-121.6555,18.340000000000032,68,0,5.14,US,1712892909
131,hawaiian paradise park,19.5933,-154.9731,22.24000000000001,98,100,3.6,US,1712893105
132,ujae,8.9322,165.7642,27.650000000000034,73,88,8.81,MH,1712893106
133,lebu,-37.6167,-73.65,9.700000000000045,97,1,2.12,CL,1712893107
134,zhob,31.3411,69.4481,20.470000000000027,35,95,0.76,PK,1712893107
135,puerto ayora,-0.7393,-90.3518,25.860000000000014,97,83,1.79,EC,1712893023
136,san antonio de pale,-1.4014,5.6325,28.170000000000016,77,100,3.93,GQ,1712892887
137,bubaque,11.2833,-15.8333,24.110000000000014,69,1,6.63,GW,1712893108
138,weno,7.4515,151.8468,30.970000000000027,79,100,4.12,FM,1712893103
139,nizhniy odes,63.6445,54.856,1.240000000000009,98,100,6.53,RU,1712893108
140,conception bay south,47.4999,-52.9981,0.9700000000000273,82,7,4.73,CA,1712893109
141,garhmuktesar,28.8,78.1,33.53000000000003,11,99,0.32,IN,1712893109
142,chuarrancho,14.8217,-90.5086,21.879999999999995,80,26,2.32,GT,1712893109
143,ribeira grande,38.5167,-28.7,15.990000000000009,94,8,0.45,PT,1712893109
144,hermanus,-34.4187,19.2345,12.670000000000016,79,54,5.94,ZA,1712892875
145,berdigestyakh,62.0989,126.6992,-10.669999999999959,81,100,5.26,RU,1712893110
146,flying fish cove,-10.4217,105.6791,29.82000000000005,74,75,5.14,CX,1712893111
147,baki,-7.6128,110.7839,30.660000000000025,68,62,3.71,ID,1712893111
148,sovetskaya gavan',48.9723,140.2878,17.840000000000032,39,58,3.92,RU,1712893111
149,sirpur,19.4833,79.6,31.54000000000002,39,65,2.92,IN,1712893111
150,lewistown,40.5992,-77.5714,19.410000000000025,94,100,4.63,US,1712893077
151,tazovsky,67.4667,78.7,-16.91999999999996,82,100,10.09,RU,1712892827
152,port saint john's,-31.6229,29.5448,14.600000000000023,65,20,5.41,ZA,1712893112
153,darovskoy,58.77,47.9564,6.300000000000011,84,100,3.96,RU,1712893112
154,chashniki,54.8569,29.1607,10.260000000000048,75,100,6.67,BY,1712893112
155,aykhal,66.0,111.5,-17.46999999999997,78,25,3.74,RU,1712893112
156,igarka,67.4667,86.5833,-21.099999999999966,94,75,4.47,RU,1712893113
157,shimoda,34.6667,138.95,15.200000000000045,80,100,6.85,JP,1712893113
158,eten,-6.9081,-79.8642,25.140000000000043,69,0,4.12,PE,1712893113
159,crane,31.3974,-102.3501,20.0,20,1,6.19,US,1712893113
160,sarina,-21.4333,149.2167,27.930000000000007,53,57,5.3,AU,1712893114
161,newtown,-33.8984,151.1775,25.980000000000018,59,20,5.14,AU,1712893114
162,saint-pierre,-21.3393,55.4781,25.82000000000005,69,0,2.06,RE,1712892885
163,karratha,-20.7377,116.8463,30.710000000000036,46,0,4.82,AU,1712892853
164,tromso,69.6496,18.957,2.0100000000000477,87,100,4.12,NO,1712893115
165,cockburn town,21.4612,-71.1419,25.260000000000048,83,28,9.67,TC,1712893115
166,kodiak,57.79,-152.4072,3.730000000000018,87,100,2.06,US,1712893115
167,vila velha,-20.3297,-40.2925,24.970000000000027,94,75,3.09,BR,1712893106
168,touros,-5.1989,-35.4608,26.150000000000034,88,98,2.18,BR,1712893115
169,charters towers,-20.1,146.2667,29.0,31,0,4.29,AU,1712893116
170,benghazi,32.1167,20.0667,17.129999999999995,53,0,5.29,LY,1712893116
